S/N,Cinema,No. of Screens,Year,Region
111,Genesis Festival Mall,4,2023,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
112,Genesis Maryland Mall,4,2023,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
113,Genesis Owerri Mall,3,2023,South-East Sites (DCI) 
114,Genesis Port Harcourt (Classic),4,2023,South-South Sites (DCI)
115,Genesis Port Harcourt (Premium),3,2023,South-South Sites (DCI)
116,Genesis Warri Delta Mall,5,2023,South-South Sites (DCI)
117,Golden Eagle Cinemas,4,2023,Non-DCI Compliant Cinemas
118,Grand Cinemas,5,2023,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
119,Habitat Cinema,2,2023,South-South Sites (DCI)
120,Havana Cinemas Owerri,3,2023,South-East Sites (DCI) 
121,Heritage Cinema,1,2023,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
122,Imperial Cinema Osun,3,2023,South-West Sites (DCI)
123,Jewel Aieda Cinema,1,2023,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
124,Kada Benin,5,2023,South-South Sites (DCI)
125,Kada Calabar,4,2023,South-South Sites (DCI)
126,Kada Port Harcourt,3,2023,South-South Sites (DCI)
127,KAP Cinemas,1,2023,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
128,Magnificent Cinemas Somolu,1,2023,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
129,Majestik Cinemas,1,2023,Non-DCI Compliant Cinemas
130,Mees Palace,2,2023,North Central Sites (DCI)
131,Mila Cinemas,2,2023,South-East Sites (DCI) 
132,OOPL Cinema Aje Palace,2,2023,South-West Sites (DCI)
133,OOPL Cinema Oke-Mosan,1,2023,South-West Sites (DCI)
134,Ozone Yaba,6,2023,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
135,Platinum Cinema,3,2023,Non-DCI Compliant Cinemas
136,Rainbow Cinemas,3,2023,South-East Sites (DCI) 
137,Royal Roots Cinema,5,2023,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
138,Royal View Cinema,3,2023,Non-DCI Compliant Cinemas
139,Silverbird Banex Mall Lekki,2,2023,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
140,Silverbird Galleria,3,2023,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
141,Silverbird Ikeja,4,2023,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
142,Silverbird Jabi Lake Mall,5,2023,North Central Sites (DCI)
143,Silverbird SEC Abuja,12,2023,North Central Sites (DCI)
144,Sky Cinema,4,2023,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
145,THC Cinema,4,2023,Non-DCI Compliant Cinemas
146,Timsed Cinema,3,2023,South-West Sites (DCI)
147,Vintage cinema,3,2023,South-West Sites (DCI)
148,Viva Enugu,4,2023,South-East Sites (DCI) 
149,Viva Ibadan,4,2023,South-West Sites (DCI)
150,Viva Ikeja,4,2023,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
151,Viva Ilorin,1,2023,North Central Sites (DCI)
152,Voicenel Cinema,3,2023,Non-DCI Compliant Cinemas
153,WosAm Cinema,3,2023,South-West Sites (DCI)
154,Zara Cinema,4,2023,South-East Sites (DCI) 
155,Imagine Cinema,1,2023,South-West Sites (DCI)
156,Cine21,5,2024,South-East Sites (DCI) 
157,Dumes Cinemas,1,2024,South-East Sites (DCI) 
158,Genesis Ceddi Plaza Abuja,4,2024,North Central Sites (DCI)
159,Nova Gateway Mall,4,2024,North Central Sites (DCI)
160,Silverbird Jabi Lake Mall,5,2024,North Central Sites (DCI)
161,Silverbird SEC Abuja,12,2024,North Central Sites (DCI)
162,The Jays Cinemas,2,2024,North Central Sites (DCI)
163,Fasnet Cinema,1,2024,North East Sites (DCI)
164,Silverbird Ibom,6,2024,South-South Sites (DCI)
165,Mila Cinemas,3,2024,South-East Sites (DCI) 
166,Rainbow Cinemas,3,2024,South-East Sites (DCI) 
167,Zara Cinemas,2,2024,South-East Sites (DCI) 
168,Exodus Cinema,1,2024,North Central Sites (DCI)
169,Hogis Cinemas,3,2024,South-South Sites (DCI)
170,Kada Calabar,4,2024,South-South Sites (DCI)
171,Cartege Cinemas Asaba,4,2024,South-South Sites (DCI)
172,Fiesta Cinemas,3,2024,South-South Sites (DCI)
173,Genesis Asaba Mall,4,2024,South-South Sites (DCI)
174,Genesis Warri Delta Mall,5,2024,South-South Sites (DCI)
175,Habitat Cinema,2,2024,South-South Sites (DCI)
176,Afemai Wondercity Cinemas,4,2024,South-South Sites (DCI)
177,Citadel Cinema,2,2024,South-South Sites (DCI)
178,FilmHouse Benin,4,2024,South-South Sites (DCI)
179,Genesis Benin City,4,2024,South-South Sites (DCI)
180,Kada Benin,5,2024,South-South Sites (DCI)
181,Sandford Cinemas,2,2024,South-South Sites (DCI)
182,Grenhaus Cinemas Enugu,4,2024,South-East Sites (DCI) 
183,Viva Enugu,3,2024,South-East Sites (DCI) 
184,Genesis Owerri Mall,3,2024,South-East Sites (DCI) 
185,Havana Cinemas Owerri,3,2024,South-East Sites (DCI) 
186,Bridge Park Cinema,2,2024,North Central Sites (DCI)
187,Silverbird Galaxy Mall,3,2024,North Central Sites (DCI)
188,Platinum Cinema,3,2024,North West Sites (DCI)
189,Viva Ilorin,4,2024,North Central Sites (DCI)
190,AA Cinema,2,2024,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
191,Alinco Cinemas,3,2024,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
192,Blue Pictures Cinemas,2,2024,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
193,Brands Cinema,2,2024,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
194,Covenant Plus Cinemas Abule-Egba,2,2024,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
195,Covenant Plus Cinemas Ifako-Ijaiye,2,2024,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
196,Dream Park Cinemas,4,2024,Lagos Cinema Sites (Digital Cinema Initiatives DCI)
